,user_id
0,273410176
1,241170948
2,2319060810
3,442918531
4,2469745578
5,1667560120098643973
6,813108041952489472
7,1425379928
8,37752339
9,32864704
10,931488016736096256
11,777841428806369281
12,635270194
13,1063572151
14,1339787335
15,1050092030179840000
16,94311001
17,33791476
18,1263405182001598464
19,1006443872
20,981670427792691201
21,1636360068
22,418776132
23,43965337
24,341354080
25,1594975834292486145
26,142451118
27,22156310
28,110846373
29,386126977
30,732338006648987648
31,36624297
32,33869803
33,1092361470
34,3258863660
35,112401574
36,17071109
37,69253449
38,2817053684
39,1183425086
